texto,sentimento,sentimento_previsto,aspecto,produto
"Amei demais a caixa de som, ótima qualidade, loja super confiável sou do estado do Pará, porém muito longe da capital, afuá Pará",positivo,positivo,qualidade,JBL Boombox 4
"Ótima caixa, chegou no prazo ela é potente original",positivo,positivo,entrega,JBL Boombox 4
"A caixa é bonita, toca muito bem, ainda depois da atualização que ela ficou melhor ainda.",positivo,positivo,qualidade,JBL Boombox 4
"Super satisfeita com a qualidade do som. Produto ótimo, original, podem comprar sem medo de ser feliz. Potência perfeita",positivo,positivo,qualidade,JBL Boombox 4
"Veio certinho, poderia pelo menos vir embalada.",neutro,positivo,entrega,JBL Boombox 4
Gostei de mais chegou certinho e dentro do prazo recomendo muito!!,positivo,positivo,entrega,JBL Boombox 4
"Venda excelente, chegou até antes do tempo, quanto ao produto PERFEITO.",positivo,positivo,entrega,JBL Boombox 4
Produto de qualidade 100% original loja top! Com nota fiscal!,positivo,positivo,qualidade,JBL Boombox 4
"Chegou certinho, so acho que deveria vir em uma embalagem que proporcionasse uma segurança, com lacres..",positivo,positivo,entrega,JBL Boombox 4
"Som muito potente e de boa qualidade, produto original, vale ressaltar que demorou a enviar e a caixa não veio com nenhuma proteção extra, chegou rasgada, amassada e com os selos soltos, precisa melhorar isso",neutro,positivo,entrega,JBL Boombox 4
Ótima caixa a melhor que já pode testar,positivo,positivo,qualidade,JBL Boombox 4
"Tenho a caixa 520, maravilhosa, e essa sem dúvidas top também.",positivo,positivo,qualidade,JBL Boombox 4
muito linda qualidade absurda da JBL nessa caixa ótimo dms,positivo,positivo,qualidade,JBL Boombox 4
Produto muito bom,positivo,positivo,qualidade,JBL Boombox 4
Demorou quase uma semana pra enviar mas chegou no prazo,neutro,positivo,entrega,JBL Boombox 4
Caixa top. Conforme o anunciado,positivo,positivo,qualidade,JBL Boombox 4
Recomendo a loja nota 10,positivo,positivo,qualidade,JBL Boombox 4
"Chegou aberto, o lacre plástico o vendedor tema em enviar a caixa de som sem embala da nisso, ainda não testei",negativo,positivo,entrega,JBL Boombox 4
Produto top demais só a embalagem deixou muito a desejar teria q ter mais cuidado,neutro,positivo,entrega,JBL Boombox 4
"Entregou dentro do prazo, porém a caixa estão colocando objetos pesados encima, rasgando-se a caixa. deveria ter mais cuidado",neutro,negativo,entrega,JBL Boombox 4
Caixa de excelente qualidade!!!,positivo,positivo,qualidade,JBL Boombox 4
"a caixa veio aberta sem o lacre da JBL mas no final estava tudo correto, caixa original",neutro,positivo,qualidade,JBL Boombox 4
"Caixa muito bonita, e entrega rápida.",positivo,positivo,entrega,JBL Boombox 4
boombox 4 é show!!,positivo,positivo,qualidade,JBL Boombox 4
"Fiquei decepcionado pois achei que ia abrir a caixa lacrada. E também não veio com a nota fiscal, vou pedir a loja agora mesmo. Pq fiquei com dúvida sobre a integridade do produto",negativo,negativo,qualidade,JBL Boombox 4
Chegou bem embalado. Tudo certo. Som potente,positivo,positivo,entrega,JBL Boombox 4
Chegou rápido muito top,positivo,positivo,entrega,JBL Boombox 4
Ótimo produto,positivo,positivo,qualidade,JBL Boombox 4
